date,fg_score,fg_rating
2024-01-02,80,extreme greed
2024-01-03,77,extreme greed
2024-01-04,79,extreme greed
2024-01-05,76,extreme greed
2024-01-08,76,extreme greed
2024-01-09,76,extreme greed
2024-01-10,76,extreme greed
2024-01-11,75,greed
2024-01-12,73,greed
2024-01-16,72,greed
2024-01-17,57,greed
2024-01-18,66,greed
2024-01-19,73,greed
2024-01-22,73,greed
2024-01-23,70,greed
2024-01-24,72,greed
2024-01-25,73,greed
2024-01-26,74,greed
2024-01-29,74,greed
2024-01-30,74,greed
2024-01-31,64,greed
2024-02-01,72,greed
2024-02-02,75,greed
2024-02-05,73,greed
2024-02-06,73,greed
2024-02-07,74,greed
2024-02-08,75,greed
2024-02-09,75,greed
2024-02-12,76,extreme greed
2024-02-13,67,greed
2024-02-14,68,greed
2024-02-15,74,greed
2024-02-16,73,greed
2024-02-20,64,greed
2024-02-21,64,greed
2024-02-22,74,greed
2024-02-23,73,greed
2024-02-26,72,greed
2024-02-27,76,extreme greed
2024-02-28,77,extreme greed
2024-02-29,77,extreme greed
2024-03-01,77,extreme greed
2024-03-04,79,extreme greed
2024-03-05,76,extreme greed
2024-03-06,73,greed
2024-03-08,70,greed
2024-03-11,63,greed
2024-03-12,72,greed
2024-03-13,72,greed
2024-03-14,70,greed
2024-03-15,69,greed
2024-03-18,71,greed
2024-03-19,71,greed
2024-03-20,70,greed
2024-03-21,71,greed
2024-03-22,70,greed
2024-03-25,67,greed
2024-03-26,68,greed
2024-03-27,70,greed
2024-03-28,69,greed
2024-03-29,70,greed
2024-04-01,71,greed
2024-04-02,71,greed
2024-04-03,69,greed
2024-04-04,54,neutral
2024-04-05,58,greed
2024-04-08,64,greed
2024-04-09,60,greed
2024-04-10,50,neutral
2024-04-11,57,greed
2024-04-12,45,fear
2024-04-15,38,fear
2024-04-16,36,fear
2024-04-17,33,fear
2024-04-18,31,fear
2024-04-19,31,fear
2024-04-22,37,fear
2024-04-23,39,fear
2024-04-24,38,fear
2024-04-25,38,fear
2024-04-26,41,fear
2024-04-29,43,fear
2024-04-30,40,fear
2024-05-01,33,fear
2024-05-02,38,fear
2024-05-03,40,fear
2024-05-06,39,fear
2024-05-07,37,fear
2024-05-08,41,fear
2024-05-09,47,neutral
2024-05-10,47,neutral
2024-05-13,50,neutral
2024-05-14,57,greed
2024-05-15,62,greed
2024-05-16,63,greed
2024-05-17,65,greed
2024-05-20,65,greed
2024-05-21,61,greed
2024-05-22,59,greed
2024-05-23,52,neutral
2024-05-24,53,neutral
2024-05-28,51,neutral
2024-05-29,46,neutral
2024-05-30,47,neutral
2024-05-31,57,greed
2024-06-03,52,neutral
2024-06-04,47,neutral
2024-06-05,49,neutral
2024-06-06,47,neutral
2024-06-07,47,neutral
2024-06-10,47,neutral
2024-06-11,48,neutral
2024-06-12,50,neutral
2024-06-13,47,neutral
2024-06-14,45,fear
2024-06-17,45,fear
2024-06-18,46,neutral
2024-06-19,46,neutral
2024-06-20,45,fear
2024-06-21,46,neutral
2024-06-24,46,neutral
2024-06-25,46,neutral
2024-06-26,47,neutral
2024-06-27,47,neutral
2024-06-28,47,neutral
2024-07-01,38,fear
2024-07-02,39,fear
2024-07-03,50,neutral
2024-07-04,41,fear
2024-07-05,51,neutral
2024-07-08,52,neutral
2024-07-09,52,neutral
2024-07-10,55,neutral
2024-07-11,54,neutral
2024-07-12,54,neutral
2024-07-15,63,greed
2024-07-16,61,greed
2024-07-17,59,greed
2024-07-18,54,neutral
2024-07-19,50,neutral
2024-07-22,57,greed
2024-07-23,54,neutral
2024-07-24,40,fear
2024-07-25,42,fear
2024-07-26,45,fear
2024-07-29,47,neutral
2024-07-30,48,neutral
2024-07-31,54,neutral
2024-08-01,32,fear
2024-08-02,27,fear
2024-08-05,17,extreme fear
2024-08-06,24,extreme fear
2024-08-07,20,extreme fear
2024-08-08,24,extreme fear
2024-08-09,23,extreme fear
2024-08-12,22,extreme fear
2024-08-13,25,extreme fear
2024-08-14,28,fear
2024-08-15,13,extreme fear
2024-08-16,35,fear
2024-08-19,47,neutral
2024-08-20,47,neutral
2024-08-21,52,neutral
2024-08-22,48,neutral
2024-08-23,55,neutral
2024-08-26,44,fear
2024-08-27,55,neutral
2024-08-28,56,greed
2024-08-29,60,greed
2024-08-30,63,greed
2024-09-03,54,neutral
2024-09-04,50,neutral
2024-09-05,48,neutral
2024-09-06,39,fear
2024-09-09,41,fear
2024-09-10,38,fear
2024-09-11,39,fear
2024-09-12,45,fear
2024-09-13,47,neutral
2024-09-16,54,neutral
2024-09-17,56,greed
2024-09-18,61,greed
2024-09-19,65,greed
2024-09-20,64,greed
2024-09-23,65,greed
2024-09-24,66,greed
2024-09-25,67,greed
2024-09-26,69,greed
2024-09-27,73,greed
2024-09-30,74,greed
2024-10-01,68,greed
2024-10-02,70,greed
2024-10-03,71,greed
2024-10-04,74,greed
2024-10-07,69,greed
2024-10-08,71,greed
2024-10-09,71,greed
2024-10-10,69,greed
2024-10-11,75,greed
2024-10-14,75,greed
2024-10-15,67,greed
2024-10-16,69,greed
2024-10-17,71,greed
2024-10-18,75,greed
2024-10-21,70,greed
2024-10-22,68,greed
2024-10-23,62,greed
2024-10-24,62,greed
2024-10-25,61,greed
2024-10-28,61,greed
2024-10-29,58,greed
2024-10-30,54,neutral
2024-10-31,47,neutral
2024-11-01,44,fear
2024-11-04,41,fear
2024-11-05,48,neutral
2024-11-06,58,greed
2024-11-07,59,greed
2024-11-08,63,greed
2024-11-11,69,greed
2024-11-12,67,greed
2024-11-13,67,greed
