date,fg_score,fg_rating
2011-01-03,68,greed
2011-01-04,68,greed
2011-01-05,67,greed
2011-01-06,64,greed
2011-01-07,63,greed
2011-01-10,58,greed
2011-01-11,58,greed
2011-01-12,58,greed
2011-01-13,58,greed
2011-01-14,60,greed
2011-01-18,56,greed
2011-01-19,55,greed
2011-01-20,54,neutral
2011-01-21,47,neutral
2011-01-24,45,neutral
2011-01-25,43,fear
2011-01-26,43,fear
2011-01-27,43,fear
2011-01-28,43,fear
2011-01-31,41,fear
2011-02-01,41,fear
2011-02-02,46,neutral
2011-02-03,47,neutral
2011-02-04,49,neutral
2011-02-07,56,greed
2011-02-08,56,greed
2011-02-09,56,greed
2011-02-10,56,greed
2011-02-11,56,greed
2011-02-14,61,greed
2011-02-15,61,greed
2011-02-16,61,greed
2011-02-17,61,greed
2011-02-18,56,greed
2011-02-22,42,fear
2011-02-23,42,fear
2011-02-24,42,fear
2011-02-25,42,fear
2011-02-28,43,fear
2011-03-01,43,fear
2011-03-02,42,fear
2011-03-03,41,fear
2011-03-04,39,fear
2011-03-07,35,fear
2011-03-08,27,fear
2011-03-09,26,fear
2011-03-10,26,fear
2011-03-11,26,fear
2011-03-14,13,extreme fear
2011-03-15,13,extreme fear
2011-03-16,11,extreme fear
2011-03-17,9,extreme fear
2011-03-18,9,extreme fear
2011-03-21,14,extreme fear
2011-03-22,15,extreme fear
2011-03-23,16,extreme fear
2011-03-24,16,extreme fear
2011-03-25,19,extreme fear
2011-03-28,23,extreme fear
2011-03-29,23,extreme fear
2011-03-30,24,extreme fear
2011-03-31,24,extreme fear
2011-04-01,27,fear
2011-04-04,31,fear
2011-04-05,35,fear
2011-04-06,37,fear
2011-04-07,37,fear
2011-04-08,37,fear
2011-04-11,34,fear
2011-04-12,33,fear
2011-04-13,33,fear
2011-04-14,30,fear
2011-04-15,28,fear
2011-04-18,24,extreme fear
2011-04-19,24,extreme fear
2011-04-20,25,fear
2011-04-21,30,fear
2011-04-25,35,fear
2011-04-26,36,fear
2011-04-27,37,fear
2011-04-28,37,fear
2011-04-29,41,fear
2011-05-02,36,fear
2011-05-03,31,fear
2011-05-04,30,fear
2011-05-05,29,fear
2011-05-06,27,fear
2011-05-09,28,fear
2011-05-10,31,fear
2011-05-11,31,fear
2011-05-12,32,fear
2011-05-13,32,fear
2011-05-16,27,fear
2011-05-17,27,fear
2011-05-18,25,fear
2011-05-19,23,extreme fear
2011-05-20,22,extreme fear
2011-05-23,16,extreme fear
2011-05-24,13,extreme fear
2011-05-25,13,extreme fear
2011-05-26,15,extreme fear
2011-05-27,16,extreme fear
2011-05-31,16,extreme fear
2011-06-01,15,extreme fear
2011-06-02,12,extreme fear
2011-06-03,9,extreme fear
2011-06-06,6,extreme fear
2011-06-07,6,extreme fear
2011-06-08,6,extreme fear
2011-06-09,6,extreme fear
2011-06-10,5,extreme fear
2011-06-13,6,extreme fear
2011-06-14,5,extreme fear
2011-06-15,5,extreme fear
2011-06-16,6,extreme fear
2011-06-17,7,extreme fear
2011-06-20,9,extreme fear
2011-06-21,9,extreme fear
2011-06-22,10,extreme fear
2011-06-23,10,extreme fear
2011-06-24,11,extreme fear
2011-06-27,25,fear
2011-06-28,29,fear
2011-06-29,30,fear
2011-06-30,32,fear
2011-07-01,34,fear
2011-07-05,51,neutral
2011-07-06,52,neutral
2011-07-07,48,neutral
2011-07-08,43,fear
2011-07-11,35,fear
2011-07-12,31,fear
2011-07-13,31,fear
2011-07-14,31,fear
2011-07-15,32,fear
2011-07-18,44,fear
2011-07-19,44,fear
2011-07-20,47,neutral
2011-07-21,48,neutral
2011-07-22,51,neutral
2011-07-25,38,fear
2011-07-26,35,fear
2011-07-27,27,fear
2011-07-28,27,fear
2011-07-29,16,extreme fear
2011-08-01,10,extreme fear
2011-08-02,8,extreme fear
2011-08-03,2,extreme fear
2011-08-04,5,extreme fear
2011-08-05,5,extreme fear
2011-08-08,1,extreme fear
2011-08-09,2,extreme fear
2011-08-10,2,extreme fear
2011-08-11,3,extreme fear
2011-08-12,6,extreme fear
2011-08-15,7,extreme fear
2011-08-16,11,extreme fear
2011-08-17,7,extreme fear
2011-08-18,7,extreme fear
2011-08-19,6,extreme fear
2011-08-22,7,extreme fear
2011-08-23,9,extreme fear
2011-08-24,8,extreme fear
2011-08-25,11,extreme fear
2011-08-26,12,extreme fear
2011-08-29,22,extreme fear
2011-08-30,22,extreme fear
2011-08-31,28,fear
2011-09-01,26,fear
2011-09-02,26,fear
2011-09-06,27,fear
2011-09-07,28,fear
2011-09-08,25,fear
2011-09-09,25,fear
2011-09-12,31,fear
2011-09-13,31,fear
2011-09-14,31,fear
2011-09-15,33,fear
2011-09-16,38,fear
2011-09-19,39,fear
