date,ticker,close,fg_score,fg_rating,fg_bucket,ret1,fwd1,fwd5,fwd20,price_high,fg_high,prev_price_high,prev_fg_high,price_higher_high,fg_lower_high,bearish_divergence
2011-02-02,DIA,120.1,46,neutral,neutral,8.327088017323625e-05,0.0022481265611991,0.0181515403830141,0.0188176519567027,120.1,67.0,120.09,68.0,True,True,1
2011-02-03,DIA,120.37,47,neutral,neutral,0.0022481265611991,0.0026584697183682,0.0149538921658221,0.0091384896568912,120.37,64.0,120.1,67.0,True,True,1
2011-02-04,DIA,120.69,49,neutral,neutral,0.0026584697183682,0.0054685558041263,0.0162399536001325,0.0001657138122462,120.69,63.0,120.37,64.0,True,True,1
2011-02-07,DIA,121.35,56,greed,greed,0.0054685558041263,0.0065100947672023,0.0103831891223733,0.0052740008240626,121.35,60.0,120.69,63.0,True,True,1
2011-03-29,DIA,122.51,23,extreme fear,extreme fear,0.0061596583442837,0.0057138192800587,0.0093053628275243,0.0341196637009223,122.51,42.0,122.36,43.0,True,True,1
2011-03-30,DIA,123.21,24,extreme fear,extreme fear,0.0057138192800587,-0.0015420826231636,0.007791575359143,0.0341693044395747,123.21,41.0,122.51,42.0,True,True,1
2011-04-01,DIA,123.46,27,fear,fear,0.0035766542025685,0.0024299368216427,0.0015389599870403,0.0354770775959825,123.46,35.0,123.21,39.0,True,True,1
2011-04-04,DIA,123.76,31,fear,fear,0.0024299368216427,-0.0008888170652876,-0.0009696186166774,0.0328054298642533,123.76,31.0,123.46,35.0,True,True,1
2012-02-16,DIA,129.07,81,extreme greed,extreme greed,0.009463475676521,0.0012396374060585,0.004261253583327,0.0230882466878439,129.07,88.0,128.76,89.0,True,True,1
2012-03-13,DIA,131.68,79,extreme greed,extreme greed,0.0171481538699211,0.0015188335358444,-0.0022782503037668,-0.0290856622114217,131.68,82.0,129.86,83.0,True,True,1
2012-03-15,DIA,132.41,79,extreme greed,extreme greed,0.0040188049742189,-0.0027188278830903,-0.0169171512725625,-0.0302847216977568,132.41,81.0,131.88,82.0,True,True,1
2013-02-27,DIA,140.6,56,greed,greed,0.0131142815967717,-0.0022759601706969,0.015931721194879,0.0310099573257469,140.6,93.0,140.05,94.0,True,True,1
2013-03-01,DIA,140.74,60,greed,greed,0.0032791559737668,0.0023447491828902,0.0214580076737245,0.0329685945715502,140.74,88.0,140.6,89.0,True,True,1
2013-03-06,DIA,142.84,69,greed,greed,0.003512716032036,0.0021002520302435,0.0113413609633157,0.0205124614953794,142.84,87.0,142.34,88.0,True,True,1
2013-04-12,DIA,148.42,57,greed,greed,0.0001347708894876,-0.0175852311009296,-0.0220994475138122,0.0176526074653012,148.42,77.0,148.4,79.0,True,True,1
2014-12-26,DIA,180.19,48,neutral,neutral,0.0008887407654278,-0.0004439758033186,-0.0296908818469393,-0.0366280037737943,180.19,61.0,180.03,63.0,True,True,1
2016-04-18,DIA,179.78,75,extreme greed,extreme greed,0.0061562569957465,0.003003671153632,-0.0013349649571698,-0.0140171320502837,179.78,78.0,179.11,79.0,True,True,1
2016-07-08,DIA,181.3,78,extreme greed,extreme greed,0.014038816488618,0.0045228902371758,0.0197462768891338,0.0218422504136788,181.3,78.0,179.88,79.0,True,True,1
2016-08-15,DIA,186.52,81,extreme greed,extreme greed,0.0033351264120495,-0.0040746300664809,-0.0075058974908857,-0.0306669526056186,186.52,90.0,186.3,91.0,True,True,1
2017-06-14,DIA,213.84,52,neutral,neutral,0.0022027464029619,-0.0007014590347923,0.000233819678264,0.0075757575757575,213.84,58.0,213.37,66.0,True,True,1
2017-11-02,DIA,234.96,69,greed,greed,0.0032879286049789,0.0009363295880149,-0.0010214504596527,0.0318777664283281,234.96,92.0,234.29,95.0,True,True,1
2017-11-03,DIA,235.18,66,greed,greed,0.0009363295880149,0.0009779743175439,-0.0031890466876435,0.0337188536440173,235.18,90.0,234.96,92.0,True,True,1
2017-11-21,DIA,235.73,54,neutral,neutral,0.0067478112321162,-0.0023755992024774,0.0156535018877528,0.0481058838501675,235.73,75.0,235.46,87.0,True,True,1
2017-11-28,DIA,238.34,64,greed,greed,0.011071989140118,0.0045313417806494,0.0153981706805403,0.0383485776621632,238.34,72.0,235.73,74.0,True,True,1
2018-07-17,DIA,251.28,49,neutral,neutral,0.0024334782782144,0.0029847182425979,0.0037010506208214,0.0076806749442852,251.28,57.0,250.67,61.0,True,True,1
2019-06-10,DIA,260.99,37,fear,fear,0.0028434197886648,-0.0004214720870532,0.0026437794551514,0.0263228476186827,260.99,39.0,260.25,44.0,True,True,1
2019-12-16,DIA,283.07,82,extreme greed,extreme greed,0.0034029279359113,0.0011657893807184,0.0079838909103755,0.0257180202776699,283.07,83.0,282.11,87.0,True,True,1
2020-02-12,DIA,295.72,60,greed,greed,0.009489997951799,-0.0030434194508319,-0.0099418368727176,-0.2827336669822805,295.72,89.0,293.74,90.0,True,True,1
2020-10-07,DIA,282.92,51,neutral,neutral,0.0187238945700705,0.0048423582638201,0.0078113954474763,-0.0155874452141949,282.92,59.0,281.51,66.0,True,True,1
2020-12-28,DIA,304.0,54,neutral,neutral,0.0065558572279982,-0.0017763157894737,-0.0005263157894738,-0.0024342105263158,304.0,89.0,303.49,92.0,True,True,1
2021-01-06,DIA,308.21,59,greed,greed,0.0143825697735651,0.0074299990266377,0.0078517893643945,0.0079815710067812,308.21,82.0,305.79,88.0,True,True,1
2021-01-07,DIA,310.5,66,greed,greed,0.0074299990266377,0.0017391304347826,-0.0014492753623187,0.0033494363929147,310.5,80.0,308.21,82.0,True,True,1
2021-01-08,DIA,311.04,71,greed,greed,0.0017391304347826,-0.0027970679012345,-0.0093878600823045,0.0091628086419751,311.04,77.0,310.5,80.0,True,True,1
2021-02-08,DIA,313.89,56,greed,greed,0.0075431726263079,9.55748829207792e-05,0.00538405173787,0.0150371149128676,313.89,70.0,311.87,71.0,True,True,1
2021-02-11,DIA,314.68,66,greed,greed,0.0005723370429253,0.0011440193212153,0.0007626795474768,0.0433138426337866,314.68,69.0,314.5,70.0,True,True,1
2021-03-15,DIA,330.09,56,greed,greed,0.0054217050957934,-0.0037262564755066,-0.0086340089066617,0.0202974946226788,330.09,71.0,328.31,73.0,True,True,1
2021-03-17,DIA,330.77,57,greed,greed,0.0058079425895516,-0.0042627807842305,-0.0202255343592223,0.0292348157329867,330.77,63.0,330.09,66.0,True,True,1
2021-03-29,DIA,331.66,39,fear,fear,0.0031759474910015,-0.0025327142254116,0.0081710185129348,0.0246336609781099,331.66,57.0,330.77,58.0,True,True,1
2021-04-15,DIA,340.44,47,neutral,neutral,0.0086214558705892,0.004171072729409,-0.006814710374809,2.9373751615529623e-05,340.44,54.0,337.86,57.0,True,True,1
2024-02-02,DIA,386.42,75,greed,extreme greed,0.0034276811217865,-0.0073495160705968,0.000776357331401,0.0098597381087935,386.42,76.0,385.1,79.0,True,True,1
2024-02-08,DIA,387.35,75,greed,extreme greed,0.0017586055292626,-0.0016264360397573,0.0023234800567961,0.0027623596230798,387.35,75.0,386.67,76.0,True,True,1
