date,fg_score,fg_rating
2024-11-13,60.314285714285724,greed
2024-11-14,51.199999999999996,neutral
2024-11-15,50.285714285714285,neutral
2024-11-18,49.51428571428572,neutral
2024-11-19,49.51428571428572,neutral
2024-11-20,56.60000000000001,greed
2024-11-21,60.71428571428572,greed
2024-11-22,62.88571428571429,greed
2024-11-25,65.91428571428573,greed
2024-11-26,64.4,greed
2024-11-28,65.0,greed
2024-11-29,65.31428571428572,greed
2024-12-02,59.57142857142858,greed
2024-12-03,57.48571428571429,greed
2024-12-04,54.91428571428572,neutral
2024-12-05,52.142857142857146,neutral
2024-12-06,49.25714285714287,neutral
2024-12-09,46.971428571428575,neutral
2024-12-10,49.2,neutral
2024-12-11,47.114285714285714,neutral
2024-12-12,49.114285714285714,neutral
2024-12-13,56.057142857142864,greed
2024-12-16,51.4,neutral
2024-12-17,33.12857142857143,fear
2024-12-18,19.514285714285716,extreme fear
2024-12-19,27.600000000000005,fear
2024-12-20,30.142857142857146,fear
2024-12-23,34.51428571428571,fear
2024-12-25,34.17142857142857,fear
2024-12-26,33.82857142857143,fear
2024-12-27,28.6,fear
2024-12-30,26.314285714285713,fear
2025-01-01,24.314285714285717,extreme fear
2025-01-02,28.885714285714283,fear
2025-01-03,33.77142857142857,fear
2025-01-06,34.31428571428572,fear
2025-01-07,31.914285714285718,fear
2025-01-09,25.62857142857143,fear
2025-01-10,25.34285714285715,fear
2025-01-13,25.142857142857142,fear
2025-01-14,27.428571428571427,fear
2025-01-15,27.342857142857145,fear
2025-01-16,36.02857142857143,fear
2025-01-20,39.91428571428572,fear
2025-01-21,41.62857142857143,fear
2025-01-22,43.68571428571429,fear
2025-01-23,45.800000000000004,neutral
2025-01-24,37.971428571428575,fear
2025-01-27,40.62857142857143,fear
2025-01-28,42.4,fear
2025-01-29,45.91428571428571,neutral
2025-01-30,43.771428571428565,fear
2025-01-31,37.4,fear
2025-02-03,37.142857142857146,fear
2025-02-04,38.62857142857143,fear
2025-02-05,39.68571428571429,fear
2025-02-06,38.371428571428574,fear
2025-02-07,44.714285714285715,fear
2025-02-10,45.4,neutral
2025-02-11,41.371428571428574,fear
2025-02-12,46.60000000000001,neutral
